Station,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
02GA003,1,1,9,12,11,1,7,1,2,4
02GA005,1,1,1,1,8,2,5,3,2,2
02GA010,17,7,2,3,22,1,7,6,4,4
02GA014,1,8,40,12,22,1,7,1,2,4
02GA015,1,1,3,1,22,2,5,3,1,2
02GA016,1,1,2,12,11,1,7,1,1,2
02GA018,17,7,45,2,1,3,1,2,5,1
02GA023,1,1,37,1,8,2,9,3,2,2
02GA024,8,17,54,1,8,4,16,3,2,2
02GA028,8,7,40,4,12,1,1,1,2,4
02GA029,7,1,4,1,22,2,5,3,22,2
02GA030,1,5,5,3,22,2,16,3,2,2
02GA031,7,1,6,1,22,2,5,3,2,2
02GA039,1,1,7,1,8,2,5,3,2,2
02GA043,1,5,5,3,8,2,16,3,2,2
02GA047,1,1,8,1,22,2,5,3,1,2
02GB001,1,5,9,1,22,1,9,1,2,2
02GB006,8,5,10,1,22,2,16,3,2,2
02GB008,1,5,11,1,22,2,5,1,2,2
02GB010,1,17,12,1,8,2,5,3,1,2
02GC002,11,7,46,2,12,3,6,4,5,6
02GC006,1,5,15,1,22,2,5,3,2,2
02GC007,1,5,13,1,22,2,5,3,2,2
02GC008,1,5,47,1,22,2,5,3,3,2
02GC010,8,5,11,1,11,1,5,1,2,2
02GC011,1,5,14,1,22,2,5,3,2,2
02GC017,8,5,15,12,8,2,5,3,2,2
02GC018,7,5,11,10,22,1,7,6,4,4
02GC021,1,5,10,1,22,2,5,3,2,2
02GC022,7,5,16,1,8,2,5,3,22,2
02GC026,1,5,11,12,22,1,5,1,4,2
02GC029,8,5,17,3,8,2,5,3,22,2
02GC030,8,17,47,3,22,2,5,3,22,2
02GC031,8,5,47,3,22,2,5,3,1,2
02GD001,10,7,45,4,1,3,1,4,5,6
02GD003,1,5,18,3,8,2,5,3,2,2
02GD004,8,5,11,3,22,2,5,1,2,4
02GD009,1,17,19,1,8,2,5,3,1,2
02GD010,8,5,20,3,8,2,16,3,22,2
02GD011,8,5,21,12,22,2,5,3,2,2
02GD014,1,1,2,3,11,1,16,1,2,4
02GD015,8,1,11,3,11,2,16,1,2,2
02GD016,1,5,22,1,22,2,5,3,2,2
02GD018,8,1,54,3,22,2,16,3,2,2
02GD021,8,1,23,3,22,12,16,3,2,2
02GD027,8,5,24,3,8,2,5,3,22,2
02GD028,7,5,54,3,22,2,5,3,22,2
02GE002,18,2,25,5,10,7,2,5,6,3
02GE003,10,7,2,3,1,1,16,6,4,4
02GE005,1,5,26,10,8,2,5,3,22,2
02GE006,2,3,25,5,2,5,2,7,7,5
02GE007,10,7,2,4,12,1,5,3,2,4
02GE008,1,5,54,1,22,2,5,3,22,2
