Station,Station Name,Country,Watershed-Area,Latitude,Longitude,YR-MaxFlow-2015,Specific-YR-MaxFlow-2015,GM-MaxFlow-2015,Specific-GM-MaxFlow-2015,NGM-MaxFlow-2015,Specific-NGM-MaxFlow-2015,YR-MinFlow-2015,Specific-YR-MinFlow-2015,GM-MinFlow-2015,Specific-GM-MinFlow-2015,NGM-MinFlow-2015,Specific-NGM-MinFlow-2015,YR-MedianFlow-2015,Specific-YR-MedianFlow-2015,GM-MedianFlow-2015,Specific-GM-MedianFlow-2015,NGM-MedianFlow-2015,Specific-NGM-MedianFlow-2015,YR-Q95Flow-2015,Specific-YR-Q95-2015,GM-Q95Flow-2015,Specific-GM-Q95-2015,NGM-Q95Flow-2015,Specific-NGM-Q95-2015,YR-Q5Flow-2015,Specific-YR-Q5-2015,GM-Q5Flow-2015,Specific-GM-Q5-2015,NGM-Q5Flow-2015,Specific-NGM-Q5-2015,YR-BFI-2015,GM-BFI-2015,NGM-BFI-2015,YR-DOY-MaxFlow-2015,GM-DOY-MaxFlow-2015,NGM-DOY-MaxFlow-2015,YR-DOY-MinFlow-2015,GM-DOY-MinFlow-2015,NGM-DOY-MinFlow-2015,YR-RBI-2015,GM-RBI-2015,NGM-RBI-2015,YR-CVQ-2015,GM-CVQ-2015,NGM-CVQ-2015
02GA003,SYDENHAM RIVER NEAR ALVINSTON,Canada,701.1790315,42.83081,-81.85172,188,23.16555298,188,23.16555298,136,16.7580596,11.6,1.429363907,15.3,1.885281705,11.6,1.429363907,21.5,2.649252069,19.8,2.439776324,23.05,2.84024466,81.14,9.998154088,102.4,12.61783311,78.48,9.670386157,11.82,1.456472533,15.7,1.934570116,78.48,9.670386157,0.471192102,0.474538729,0.451625204,165,165,100,56,221,56,0.17,0.22,0.15,0.8018,0.8964,0.7203
02GA005,SYDENHAM RIVER AT FLORENCE,Canada,1149.322027,42.65061,-82.00839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02GA010,SYDENHAM RIVER AT STRATHROY,Canada,170.5938779,42.95886,-81.62714,89.300003,45.22741586,64.900002,32.86964481,89.300003,45.22741586,2.3800001,1.205389145,2.3800001,1.205389145,2.53,1.281358995,5.6799998,2.876726813,4.0100002,2.030928786,6.5400002,3.312287781,28.2399992,14.30259961,21.1800004,10.72695021,38.63499955,19.56731392,2.6600001,1.347199627,2.5759999,1.304656381,38.63499955,19.56731392,0.470892225,0.465485612,0.479288525,101,161,101,269,269,287,0.26,0.27,0.26,1.1507,1.1587,1.0891
02GA014,BEAR CREEK NEAR PETROLIA,Canada,248.7221028,42.90583,-82.11911,69.699997,24.21208117,51.599998,17.9245824,69.699997,24.21208117,0.53200001,0.184803845,0.53200001,0.184803845,0.67000002,0.232741687,1.9,0.660013719,1.27,0.441167065,3.19999995,1.111602035,27.3799998,9.511144993,20.3,7.051725521,30.78,10.69222224,0.71360002,0.247887265,0.680599998,0.236423861,30.78,10.69222224,0.438127968,0.412227424,0.433161544,100,180,100,212,212,276,0.35,0.42,0.33,1.6672,1.9811,1.4878
02GA015,BEAR CREEK BELOW BRIGDEN,Canada,535.608101,42.81203,-82.29842,25.9,4.177980124,20.5,3.306895465,25.9,4.177980124,1.7,0.274230356,1.7,0.274230356,1.84,0.296814032,3.0699999,0.495227744,2.6700001,0.430702986,3.28,0.529103274,10.62999996,1.714746276,10.92,1.761526755,9.679499965,1.561419246,1.892,0.305202255,1.85,0.298427152,9.679499965,1.561419246,0.463568118,0.469940729,0.445758744,101,180,101,245,245,287,0.15,0.2,0.12,0.787,0.7982,0.7798
02GA016,BLACK CREEK NEAR BRADSHAW,Canada,213.3575584,42.76244,-82.25922,53.400002,21.62454523,53.400002,21.62454523,29.9,12.10812506,2.8,1.133871243,2.9200001,1.182465766,2.8,1.133871243,4.3800001,1.773698628,4.3800001,1.773698628,4.25,1.721054566,20.54,8.317755477,31.5000008,12.75605181,17.445,7.064422799,2.8800001,1.166267605,3.3659999,1.363075175,17.445,7.064422799,0.42859392,0.399801526,0.3535733,182,182,105,51,264,51,0.15,0.18,0.13,1.0429,1.2,0.7875
02GA018,LITTLE RIVER AT WINDSOR,Canada,55.2569403,42.30986,-82.9285,50.200001,78.492947,47.799999,74.7402931,50.200001,78.492947,0.257,0.401846354,0.257,0.401846354,0.31299999,0.48940819,1.86,2.908304353,1.08,1.68869285,2.785,4.354638507,19.32,30.20883876,12.94,20.23304211,22.7,35.49382194,0.39899999,0.623878176,0.361,0.564461221,22.7,35.49382194,0.443924572,0.361775233,0.461698235,100,160,100,214,214,276,0.43,0.58,0.38,1.5239,1.8734,1.3331
02GA023,THAMES RIVER AT BYRON,Canada,3082.608824,42.9625,-81.33178,8.4899998,0.237959477,8.4899998,0.237959477,5.52,0.154715706,0.27500001,0.007707757,0.37799999,0.010594662,0.27500001,0.007707757,0.57800001,0.016200304,0.56699997,0.015891993,0.588500025,0.016494601,3.16600006,0.088737307,3.23000006,0.090531112,2.87449999,0.080567082,0.340199998,0.009535196,0.422200006,0.011833509,2.87449999,0.080567082,0.434487702,0.414401152,0.419502369,167,167,100,50,130,50,0.27,0.27,0.28,0.9938,1.1033,0.9142
02GA024,THAMES RIVER AT THAMESVILLE,Canada,4370.375881,42.54486,-81.96727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02GA028,DINGMAN CREEK BELOW LAMBETH,Canada,148.5857904,42.93411,-81.35131,104,60.4741542,104,60.4741542,23.1,13.43224002,0.55900002,0.32504859,2.04,1.186223794,0.55900002,0.32504859,3.45,2.006113769,3.05,1.773520868,3.6450001,2.119502866,18.98,11.03653314,21.4,12.44372019,17.974999,10.4521429,1.298,0.754763963,2.3259999,1.35252766,17.974999,10.4521429,0.407128972,0.395925251,0.37281446,164,164,365,71,204,71,0.22,0.33,0.11,1.4797,1.7326,0.8967
