station,beans2016,canola2016,corn2016,fallow2016,grapes2016,oats2016,peas2016,potatoes2016,sod2016,soyabeans2016,springwheat2016,tomatoes2016,winterwheat2016
02GA003,0.010778635,0.432451115,14.30954652,0.103485135,0.005427721,0.373949499,0.007347905,0.148212628,0.003993983,13.69839025,0.569501072,0.002483438,9.484225686
02GA005,0.0,0.0,20.67302551,0.005881221,0.0,0.499369105,0.0,0.001069313,0.0,22.87527535,0.657627409,0.0,15.47456105
02GA010,0.022624828,0.00304565,22.09836579,0.031152648,0.0,0.272368123,0.004524966,0.001044223,0.0,17.86360709,0.397587845,0.0,12.60533598
02GA014,0.026062771,2.074705131,6.302032217,0.233207499,0.002307641,0.98807764,0.002714872,0.707631369,0.016560719,14.96505281,1.584263516,0.0,8.079866103
02GA015,0.011411237,0.011252748,11.33880756,0.006656555,0.029954498,0.03470918,0.0,0.003645256,0.0,11.54706264,0.027418667,0.0,5.840176113
02GA016,0.023281392,1.758949287,7.638360852,0.202651326,0.001949673,0.850057515,0.002293733,0.626418531,0.013991772,15.40677638,1.380827372,0.0,8.011665927
02GA018,0.011245357,0.005788051,20.21485247,0.026128918,0.0,0.465690085,0.007772526,0.001984475,0.0,16.28658462,0.734751792,0.0,15.16899457
02GA023,0.0,0.0,27.23420374,0.022884559,0.0,0.468738903,0.007891227,0.0,0.0,6.14884433,0.366942071,0.00868035,11.25683578
02GA024,0.027364772,0.0,6.17683724,0.0,0.0,0.114019885,0.034966098,0.0,0.0,8.15774271,0.0,0.00304053,2.680227432
02GA028,0.008824637,0.224870664,21.01445507,0.086197795,0.0,0.355349227,0.010715631,0.044595934,0.0,18.85367964,0.760494621,0.003309239,16.10890233
02GA029,0.006220791,0.027604762,8.63368092,0.008553588,0.048599933,0.015163179,0.0,0.0,0.0,9.728151414,0.045878337,0.0,3.216537974
02GA030,0.0,0.0,19.49779836,0.0,0.0,0.0,0.0,0.0,0.0,15.83092924,0.062632858,0.0,9.607500759
02GA031,0.0,0.153986293,5.276741563,0.0,0.23206385,0.0,0.0,0.0,0.0,6.985772534,0.0,0.0,1.457447731
02GA039,0.018347602,0.463932219,18.20442505,0.090099831,0.0,0.4252712,0.01769233,0.092720917,0.0,21.77696524,0.864958374,0.0,17.77718803
02GA043,0.0,0.0,27.22982216,0.0,0.0,0.027359781,0.0,0.0,0.0,18.48153215,0.0,0.0,10.49247606
02GA047,0.008508597,0.008390422,10.94973665,0.069132348,0.022335066,0.031434538,0.002245324,0.002718024,0.004017948,12.0705079,0.02576214,0.0,5.747557028
02GB001,0.020697914,0.292920483,17.12131124,0.099872628,0.004482241,0.317425706,0.009812473,0.100859067,0.003686167,15.3377775,0.470219924,0.00192096,9.771146138
02GB006,0.060505961,0.0,31.15893444,0.088851095,0.0,0.111200144,0.01308237,0.0,0.0,20.29402626,0.021258851,0.007631382,10.09304836
02GB008,0.120116618,0.0,28.00186589,0.20851312,0.0,0.12548105,0.053177843,0.006297376,0.013294461,22.52758017,0.077434402,0.003265306,8.590553936
02GB010,0.0,0.0,11.75104046,0.097404458,0.007292312,0.041670356,0.0,0.039065959,0.0,17.1978769,0.121885792,0.0,7.046978118
02GC002,0.040530432,0.0,25.58558313,0.067188031,0.0,0.075348521,1.291261476,0.026385583,0.0,30.16416185,0.096565794,0.0,11.47011221
02GC006,0.198320964,0.002920063,21.25222046,0.633410391,0.033824066,0.132376201,0.030417326,0.373038082,0.0,20.06983818,0.060104636,0.026523908,9.267550797
02GC007,0.157368531,0.01111584,20.79805378,0.561985098,0.027313206,0.103059714,0.030965554,0.301874448,0.0,19.98405671,0.054467615,0.01730895,7.670405823
02GC008,0.118355053,0.0,15.24901527,0.819718327,0.010645693,0.164068909,0.03131086,0.450876391,0.0,15.52079354,0.060743069,0.249234449,4.406690505
02GC010,0.13368848,0.0,26.24792859,0.318717404,0.0,0.128351108,0.202057684,0.222898854,0.0,20.45764159,0.132163517,0.006099855,11.67308846
02GC011,0.361120525,0.007012049,26.05034651,0.502530181,0.037981932,0.195168698,0.007012049,0.195753036,0.0,24.30200895,0.030385546,0.017530123,8.967242044
02GC017,0.022258627,0.0,29.10627159,0.128209694,0.0,0.067666227,0.035613804,0.072117953,0.0,19.00708715,0.133551765,0.0,9.115353111
02GC018,0.058978841,0.0,28.43544109,0.22308059,0.0,0.037281962,0.429659328,0.004278258,0.0,26.80817514,0.06142356,0.0,12.77671161
02GC021,0.324618863,0.0,19.50514946,1.107182192,0.0,0.028017699,0.088883736,0.033814465,0.134291732,25.57436284,0.037678975,0.0,6.514598188
02GC022,0.094984127,0.05231746,16.5871746,0.556190476,0.0,0.084825397,0.0,0.324063492,0.0,25.0392381,0.036571429,0.0,11.72469841
02GC026,0.170106032,0.0,26.40516927,0.281704257,0.0,0.100628011,0.185003853,0.133809522,0.0,20.32469124,0.07773954,0.003250434,8.894270163
02GC029,0.016110951,0.0,26.35617284,0.078540885,0.0,0.092637967,2.010512395,0.030208033,0.0,30.45909497,0.165808535,0.0,12.37522404
02GC030,0.105843409,0.0,29.88549022,0.408456107,0.0,0.001420717,0.614460057,0.0,0.0,23.84105019,0.028414338,0.0,12.35526447
02GC031,0.0,0.0,27.66692283,0.1039736,0.0,0.066904751,0.325482573,0.047014149,0.0,33.24533249,0.053342977,0.0,11.19840875
02GD001,0.111180538,0.0,31.54991589,0.374704645,0.0,0.190412646,0.155235742,0.006255166,0.0,17.99517209,0.159136814,0.001950536,8.243973013
02GD003,0.039907526,0.002605428,27.06537336,0.044610006,0.0,0.306868543,0.016522224,6.35e-05,0.0,27.49495119,0.137325103,0.0,14.46406353
02GD004,0.062766457,0.0,39.49313513,0.192758191,0.0,0.11181347,0.07922979,0.011661528,0.0,15.77118711,0.081630693,0.009946597,7.477440089
02GD009,0.0,0.0,28.57254836,0.008441464,0.0,0.439559114,0.038589552,0.0,0.0,15.85970286,0.240581737,0.0,11.04083257
02GD010,0.0,0.0,29.83215283,0.097890064,0.0,0.255012969,0.0,0.0,0.0,30.79983041,0.013717079,0.0,18.05042897
02GD011,0.0,0.0,28.37538462,0.356923077,0.0,0.17025641,0.641025641,0.0,0.0,17.38666667,0.426666667,0.0,8.647179487
02GD014,0.02825157,0.0,29.90642737,0.027680831,0.0,0.260542259,0.009702559,0.0,0.0,33.49123773,0.226012562,0.0,15.73669537
02GD015,0.042712284,0.002788541,27.22765308,0.036727124,0.0,0.318097698,0.011426216,6.8e-05,0.0,27.94124748,0.146976508,0.0,14.58284449
02GD016,0.176314238,0.0,32.71679239,0.388809076,0.0,0.135368389,0.189021571,0.004235777,0.0,17.64042485,0.123896492,0.0,8.154401149
02GD018,0.040396786,0.0,24.10982796,0.017954127,0.0,0.289830911,0.002564875,0.000641219,0.0,20.46706379,0.048091412,0.0,12.04914301
02GD021,0.26119606,0.0,40.4605999,0.007860067,0.0,0.174735327,0.043532677,0.014510892,0.0,19.15740086,0.102180866,0.0,8.615842267
02GD027,0.113476409,0.0,28.4211897,0.254856852,0.0,0.590325361,0.419180614,0.021703138,0.0,21.81475441,0.606447692,0.0,8.653971364
02GD028,0.354575715,0.0,17.62747841,0.057889913,0.0,0.202614694,0.0,0.0,0.0,20.12639298,0.0,0.0,7.412320903
02GE002,0.070888048,0.001197039,27.97450249,0.186008136,0.0,0.229948215,0.090011471,0.00274443,0.0,22.5650846,0.132725316,0.000846686,11.44220099
02GE003,0.05949417,0.000844327,27.5038108,0.157909759,0.0,0.177720556,0.110998122,0.001935774,0.0,23.46290253,0.121541914,0.00098848,10.29856641
02GE005,0.200489412,0.0,16.63456413,0.054513737,0.0,0.036342492,0.386441828,0.0,0.0,20.54804477,0.00666279,0.0,7.553181179
02GE006,0.067457858,0.000967053,26.57759399,0.17772551,0.0,0.190768935,0.120386331,0.002217146,0.0,22.51981516,0.119773077,0.000684013,10.89517521
02GE007,0.0,0.0,33.6754613,0.0,0.017665816,0.065363518,0.296785705,0.0,0.0,35.18588855,0.125868937,0.060063774,16.7847332
02GE008,0.0,0.0,24.48977447,0.233306009,0.0,0.016814848,0.935325893,0.0,0.0,21.2970553,0.0,0.0,14.99148748
02GG002,0.012450615,0.0,29.21722857,0.158520713,0.0,0.021050524,0.122965865,0.0,0.0,27.94983301,0.023489304,0.0,9.926733909
02GG003,0.015818002,0.0,29.10410595,0.101799024,0.0,0.024431766,0.078150327,0.0,0.0,31.22160395,0.049568294,0.0,10.1712103
02GG005,0.0,0.0,27.22778807,0.021630291,0.0,0.012661634,0.278555941,0.0,0.0,25.44724583,0.059087624,0.0,11.58486724
02GG006,0.0,0.02135051,22.54541507,0.0,0.0,0.012665557,0.005789969,0.0,0.0,38.90641963,0.019179272,0.0,16.85351379
02GG009,0.00268852,0.009913917,16.50196682,0.018819639,0.0,0.00806556,0.016971282,0.0,0.0,39.69549152,0.121487491,0.0,20.07719413
02GG013,0.0,0.0,5.062308581,0.0,0.0,0.0,0.010546476,0.0,0.0,46.95333395,0.043029623,0.0,26.76695662
4159492,4.184418066,0.0,18.05117695,1.891647497,0.0,0.242991524,0.0,0.070442905,0.064876821,25.90729458,0.0,0.000182495,10.55995722
4159900,0.578773174,0.0,12.83208346,2.590859675,0.0,0.336030739,0.0,0.14656147,1.109817449,24.33498938,0.0,0.000241055,5.189674166
